Day,Sample,Colonies,CFU_g,Temperature,pH,Turbidity
57,Biotech,42,100472,28.71,6.81,9.78
58,AIML,24,40309,26.06,6.86,3.8
58,Biotech,45,93344,29.46,6.98,7.16
59,AIML,21,36222,23.08,6.6,9.93
59,Biotech,47,98891,28.08,7.39,6.3
60,AIML,18,45688,22.85,7.78,8.22
60,Biotech,49,95415,23.45,6.6,8.19
61,AIML,15,39692,28.25,7.74,8.25
61,Biotech,50,92826,26.18,7.04,9.14
62,AIML,22,32891,25.62,7.57,9.3
62,Biotech,45,100543,24.84,7.09,6.72
63,AIML,24,53553,26.99,6.68,9.58
63,Biotech,40,93026,29.03,7.24,8.19
64,AIML,19,50590,28.02,7.56,8.45
64,Biotech,46,97047,29.01,7.01,8.75
65,AIML,19,47975,26.83,7.25,6.78
65,Biotech,46,101397,27.55,7.31,4.76
66,AIML,24,53112,29.67,7.01,4.59
66,Biotech,45,86595,26.69,7.26,7.28
67,AIML,26,47323,29.46,7.35,7.88
67,Biotech,43,90376,22.62,6.66,8.88
68,AIML,20,50808,23.89,6.75,4.3
68,Biotech,44,93079,22.44,7.0,8.62
69,AIML,22,37640,22.91,7.12,9.04
69,Biotech,46,93028,25.62,6.84,6.17
70,AIML,15,46887,26.62,6.75,3.24
70,Biotech,46,86203,22.1,7.5,4.25
71,AIML,23,56582,26.46,7.79,6.75
71,Biotech,37,87576,28.0,6.81,9.29
72,AIML,15,44779,25.78,7.35,3.46
72,Biotech,41,80456,25.21,7.34,4.09
73,AIML,18,34924,22.6,7.63,4.91
73,Biotech,37,92586,23.25,7.57,7.61
74,AIML,24,45742,24.03,6.79,6.54
74,Biotech,46,89333,27.22,6.86,3.7
75,AIML,23,48279,28.85,7.75,5.78
75,Biotech,45,85492,22.7,7.45,8.15
76,AIML,15,38068,23.45,7.37,5.95
76,Biotech,44,98365,28.6,7.04,3.24
77,AIML,20,52047,25.28,7.33,6.05
77,Biotech,53,104297,25.4,6.53,4.88
78,AIML,22,54463,25.22,6.83,7.52
78,Biotech,48,110649,26.24,7.72,6.49
79,AIML,27,45047,27.21,7.74,4.44
79,Biotech,45,90410,27.86,6.88,7.43
80,AIML,24,33588,29.32,7.13,5.68
80,Biotech,53,103582,23.47,6.64,8.4
81,AIML,27,46467,25.5,7.87,8.05
81,Biotech,49,117254,29.49,7.6,4.5
82,AIML,19,43194,23.3,7.76,8.92
82,Biotech,49,106173,24.81,7.12,7.93
83,AIML,19,47528,23.97,7.73,8.6
83,Biotech,51,85898,22.73,7.88,3.96
84,AIML,22,54965,26.17,6.63,9.71
84,Biotech,54,107148,27.54,7.77,4.75
85,AIML,28,44849,27.55,6.58,7.69
85,Biotech,49,106507,22.96,7.6,4.35
86,AIML,28,64192,29.55,7.21,9.03
86,Biotech,47,91326,27.2,7.05,6.92
87,AIML,28,56653,26.24,7.16,5.83
87,Biotech,58,97812,24.55,7.44,9.2
88,AIML,28,52058,25.34,7.19,9.93
88,Biotech,51,105460,22.56,6.51,3.37
89,AIML,26,43894,25.84,7.44,9.12
89,Biotech,51,107879,27.9,6.86,3.77
90,AIML,17,42749,24.37,6.85,3.29
90,Biotech,45,88709,29.65,7.7,4.81
91,AIML,24,64528,29.07,7.4,9.33
91,Biotech,46,109918,23.85,6.76,4.54
92,AIML,29,65161,28.61,7.7,7.41
92,Biotech,55,103295,23.23,7.72,4.57
93,AIML,29,43709,22.28,7.84,9.02
93,Biotech,52,96375,22.36,7.78,3.25
94,AIML,28,62838,27.88,6.92,4.77
94,Biotech,50,96991,22.65,6.83,7.78
95,AIML,26,53979,22.49,7.82,6.61
95,Biotech,51,114389,26.53,6.9,9.15
96,AIML,31,51315,23.96,6.74,4.12
96,Biotech,61,119747,29.69,7.2,9.15
97,AIML,19,49380,24.68,7.62,4.13
97,Biotech,51,98214,23.55,6.63,5.29
98,AIML,23,49408,24.08,7.45,6.78
98,Biotech,44,86411,25.46,7.76,5.75
99,AIML,15,47515,29.5,7.53,3.47
99,Biotech,49,107791,22.46,6.61,8.97
100,AIML,21,53112,26.76,7.08,3.46
100,Biotech,54,104035,27.47,7.17,4.92
101,AIML,22,51532,25.61,6.75,8.56
101,Biotech,50,98444,23.05,7.8,9.74
102,AIML,24,49472,29.55,7.13,7.47
102,Biotech,46,107004,24.57,7.59,8.22
103,AIML,22,39911,27.21,7.05,9.05
103,Biotech,47,89979,23.23,7.18,6.71
104,AIML,23,52002,23.05,6.55,9.45
104,Biotech,48,84699,26.79,7.41,4.73
105,AIML,21,38228,25.93,6.6,7.07
105,Biotech,57,130773,23.2,7.2,7.76
106,AIML,20,56421,26.8,6.94,7.86
106,Biotech,47,98692,22.82,7.36,3.13
107,AIML,21,50584,27.62,7.34,3.07
107,Biotech,47,101782,22.27,6.62,5.78
108,AIML,34,67783,23.61,7.54,8.75
108,Biotech,42,99827,29.49,6.58,6.79
109,AIML,31,66482,29.58,7.44,8.48
109,Biotech,59,122679,28.27,7.22,3.29
110,AIML,28,50135,27.8,7.39,7.55
110,Biotech,63,126358,24.7,6.77,8.53
111,AIML,20,35951,23.29,6.53,7.57
111,Biotech,52,116822,22.58,6.55,4.8
112,AIML,28,65940,27.82,7.61,5.98
112,Biotech,58,113662,26.35,7.27,7.12
113,AIML,28,53046,25.89,7.81,9.3
113,Biotech,56,98562,25.73,7.75,4.65
114,AIML,24,61658,29.27,6.77,4.66
114,Biotech,56,107020,23.98,7.81,6.12
115,AIML,30,49791,27.3,6.64,7.56
115,Biotech,63,123753,23.05,7.95,6.18
116,AIML,24,34478,23.36,7.28,5.36
116,Biotech,60,114061,27.65,6.75,4.17
117,AIML,29,57367,24.85,7.3,8.47
117,Biotech,57,129959,23.65,6.67,4.89
118,AIML,19,48126,23.85,6.58,7.48
118,Biotech,51,105270,26.06,6.56,4.04
119,AIML,29,47220,27.49,6.53,5.26
119,Biotech,54,114572,24.74,7.3,3.88
120,AIML,24,54205,23.61,7.51,9.79
120,Biotech,52,107314,29.71,6.88,7.63
121,AIML,24,55492,23.27,7.48,9.7
121,Biotech,53,109551,29.92,6.84,7.55
122,AIML,24,57082,23.74,7.51,9.64
122,Biotech,54,106279,30.37,6.89,7.6
123,AIML,24,55837,23.67,7.49,9.66
123,Biotech,55,103754,30.29,6.93,7.52
124,AIML,24,54642,23.96,7.46,9.66
124,Biotech,54,101168,29.91,6.89,7.55
125,AIML,24,53225,23.53,7.5,9.75
125,Biotech,53,103946,29.7,6.93,7.49
126,AIML,24,51730,23.47,7.46,9.75
126,Biotech,52,100866,30.09,6.93,7.59
127,AIML,24,52782,23.28,7.46,9.76
127,Biotech,53,102958,30.22,6.95,7.58
128,AIML,24,53935,23.67,7.47,9.84
128,Biotech,52,105663,30.0,7.0,7.66
129,AIML,24,52809,23.56,7.45,9.91
129,Biotech,51,108258,29.96,6.99,7.68
130,AIML,24,51564,23.86,7.41,10.01
130,Biotech,52,110507,30.0,6.97,7.74
131,AIML,24,50135,24.07,7.43,10.06
131,Biotech,53,107540,30.45,6.99,7.76
132,AIML,24,49095,24.19,7.41,9.97
132,Biotech,52,110141,29.98,6.98,7.82
133,AIML,24,47960,24.58,7.41,9.89
133,Biotech,51,106851,30.45,7.01,7.89
134,AIML,24,49261,24.57,7.41,9.88
134,Biotech,50,104213,30.81,7.04,7.99
135,AIML,24,48263,24.38,7.41,9.96
135,Biotech,51,107336,31.16,7.01,7.98
136,AIML,24,47177,23.96,7.39,9.89
136,Biotech,50,109621,31.33,7.02,7.95
137,AIML,24,48559,24.26,7.36,9.97
137,Biotech,51,111938,31.35,7.06,7.96
138,AIML,24,49792,23.87,7.33,9.96
138,Biotech,50,114805,30.88,7.09,7.98
139,AIML,24,51195,23.79,7.3,9.88
139,Biotech,49,111701,30.73,7.1,7.96
140,AIML,24,52392,23.99,7.29,9.97
140,Biotech,50,114424,31.01,7.09,7.98
141,AIML,24,50840,23.77,7.24,9.99
141,Biotech,51,117699,31.0,7.07,7.97
142,AIML,24,49568,23.51,7.2,9.99
142,Biotech,52,114192,30.74,7.03,7.9
143,AIML,24,48088,23.25,7.22,9.96
143,Biotech,53,111762,30.42,7.01,7.98
144,AIML,24,49354,23.59,7.2,9.9
144,Biotech,52,114527,29.96,6.98,7.94
145,AIML,24,50361,23.6,7.17,9.93
145,Biotech,51,112034,29.67,6.97,7.94
146,AIML,24,51456,23.24,7.15,9.85
146,Biotech,52,109020,29.25,7.01,8.02
147,AIML,24,52961,23.56,7.16,9.86
147,Biotech,53,106773,28.93,6.98,7.99
148,AIML,24,51774,23.69,7.14,9.83
148,Biotech,52,109426,29.18,6.93,7.94
149,AIML,24,53185,23.83,7.1,9.76
149,Biotech,53,112395,28.79,6.92,7.95
150,AIML,24,54727,23.99,7.05,9.69
150,Biotech,52,109875,28.61,6.89,7.92
151,AIML,24,56122,24.2,7.02,9.66
151,Biotech,53,112204,28.9,6.89,7.84
152,AIML,24,57663,24.27,6.98,9.63
152,Biotech,52,115051,28.53,6.87,7.81
153,AIML,24,56357,24.66,6.99,9.69
153,Biotech,53,118095,28.64,6.84,7.73
154,AIML,24,57767,24.88,6.97,9.59
154,Biotech,52,115553,28.43,6.81,7.81
155,AIML,24,56239,25.29,6.96,9.49
155,Biotech,53,117957,28.04,6.8,7.9
156,AIML,24,54592,25.64,6.94,9.47
156,Biotech,52,121337,28.21,6.84,7.91
157,AIML,24,53036,26.08,6.96,9.48
157,Biotech,51,118217,28.03,6.83,7.91
158,AIML,24,54148,26.1,7.0,9.53
158,Biotech,50,115566,28.11,6.8,7.91
159,AIML,24,55608,26.41,7.03,9.6
159,Biotech,49,112639,27.67,6.85,7.87
160,AIML,24,57228,26.56,7.05,9.66
160,Biotech,50,109474,27.77,6.85,7.85
161,AIML,24,55574,26.64,7.0,9.65
161,Biotech,51,112045,27.39,6.87,7.94
162,AIML,24,54161,26.18,7.03,9.62
162,Biotech,52,109601,27.73,6.83,8.0
163,AIML,24,55313,26.3,6.99,9.53
163,Biotech,53,107188,27.9,6.83,7.97
164,AIML,24,56713,26.78,6.99,9.49
164,Biotech,52,104104,27.78,6.83,7.93
165,AIML,24,55128,26.31,7.04,9.56
165,Biotech,53,106964,27.66,6.83,8.01
166,AIML,24,53642,26.06,7.04,9.6
166,Biotech,54,104157,27.49,6.79,8.07
167,AIML,24,52215,26.11,7.05,9.58
167,Biotech,55,106886,27.14,6.77,8.02
168,AIML,24,51041,25.73,7.0,9.49
168,Biotech,56,103953,27.52,6.75,8.08
169,AIML,24,52498,25.72,7.0,9.42
169,Biotech,55,106147,27.82,6.71,8.03
170,AIML,24,51220,25.27,6.99,9.45
170,Biotech,56,109037,27.86,6.69,8.0
171,AIML,24,52502,24.84,7.0,9.36
171,Biotech,55,111416,27.82,6.73,7.93
172,AIML,24,53860,24.98,7.0,9.37
172,Biotech,54,114297,28.19,6.77,7.94
173,AIML,24,52276,24.68,6.96,9.29
173,Biotech,53,117379,28.27,6.78,7.92
174,AIML,24,51221,24.5,6.99,9.19
174,Biotech,52,120591,27.88,6.83,7.99
175,AIML,24,49779,24.63,7.03,9.24
175,Biotech,53,123153,27.97,6.82,7.9
176,AIML,24,48383,24.94,7.08,9.22
176,Biotech,52,126029,27.87,6.82,7.98
177,AIML,24,49531,25.3,7.07,9.27
177,Biotech,51,123072,27.59,6.82,7.91
178,AIML,24,48167,25.63,7.05,9.35
178,Biotech,52,120393,27.45,6.83,7.94
179,AIML,24,47016,25.45,7.1,9.44
179,Biotech,53,122817,27.1,6.82,7.86
180,AIML,24,48226,25.28,7.12,9.49
180,Biotech,52,126498,27.35,6.79,7.94
181,AIML,24,49572,24.84,7.12,9.48
181,Biotech,51,123709,27.41,6.75,8.0
182,AIML,24,48141,25.1,7.13,9.4
182,Biotech,50,126744,27.47,6.72,7.94
